QualityID,MaterialID,InspectionDate,InspectionResult,ValidationDate
3b22f9a7-aa2f-4bbe-96e7-50a4f5f5c221,M346,2024-05-18,Fail,2024-10-16
52aa6c25-b04a-4153-85b3-501df6f9fc09,M892,2024-08-09,Pass,2025-02-04
2cf571ef-a872-4a84-9bc7-abf9e2150a7f,M850,2024-09-08,Pass,2024-12-23
fc377327-8f07-45fd-a1ea-f0b975e358e8,M724,2024-12-22,Pass,
8862bb93-db37-47dd-9034-bcf68da9af51,M887,2024-10-14,Fail,2024-06-21
028a0103-b296-4727-b31b-209f56ba537c,M535,2024-08-09,Fail,2024-08-20
2091d336-19e1-4288-827b-504d9e5ebd71,M730,2024-11-22,Pass,2024-09-09
7577a87c-17f0-40e0-b316-4f9a68609008,M798,2024-03-30,Pass,2024-12-10
01fcf438-071b-4899-a506-3a9c73cb9766,M774,2024-03-24,Pass,
0c5b2817-5ebd-4da4-86f8-88f1f7f7906f,M100,2024-06-29,Pass,2025-01-12
c4169d08-e3cf-4bac-8dbf-23375d5a88e7,M170,2024-12-15,Fail,2024-12-12
c89992ea-83a1-470c-8092-98fc3b25ed99,M191,2024-05-20,Fail,2024-09-21
e742020d-8346-4232-992d-7440f79a2b77,M404,2025-03-06,Fail,2024-06-03
8b4e2536-3c4e-4cea-952a-3ef46e8883d4,M937,2024-04-02,Fail,2024-07-22
4060fb42-40ed-4187-b1b6-fdf6dfd1e230,M645,2024-05-10,Pass,2025-02-22
56a1ddbc-9553-40c1-830f-5e40a5d21a46,M102,2024-09-01,Fail,2024-11-08
e47fbb47-2650-46b1-9c14-1e420d0ade74,M647,2024-10-04,Pass,2025-02-13
c4d381e4-6d9f-4d5e-9491-15f3857d1261,M169,2024-04-22,Pass,2024-08-10
83b31632-5da1-4df8-b030-bf5ae834ea0c,M269,2024-11-15,Pass,2025-01-20
8984926b-5262-4ff9-a98a-08b92af0eef1,M290,2024-10-26,Fail,2024-09-28
c27001cd-8076-4167-a8e8-eda1617ae0e9,M443,2025-03-05,Fail,2025-03-12
aa6e402c-cab1-4543-97b3-a5af6949998b,M754,2024-10-05,Fail,
c17876c2-7c1e-4caa-9e64-b0edc468a8ed,M573,2024-09-29,Fail,
744a918a-d986-417b-a26e-12752019d207,M819,2024-05-02,Pass,
bd67d379-0839-4130-9d51-e284ec59882c,M867,2024-10-22,Fail,
6f1e3dda-609e-443d-a8c6-8846d53fda3e,M190,2024-06-17,Pass,2025-02-24
d01b46eb-6300-46db-9ac3-41149bf8852c,M653,2024-12-17,Pass,
d31e3c96-cb5c-4d5c-9756-81ac837e8e79,M806,2024-08-25,Fail,
a3443c72-1012-478a-bc4c-542e144de608,M194,2024-09-03,Pass,2024-04-15
c075e868-3a11-4337-bca8-f5099d9f9aa7,M624,2024-06-26,Fail,2024-04-18
209ae197-737f-49de-aa83-5ca39ed529fd,M191,2024-09-16,Pass,2024-04-11
b58a2316-9d01-4672-ac03-ee9e94a5cf08,M870,2024-04-28,Fail,
678c7217-ad12-4674-9a12-ef2274027699,M917,2025-03-16,Pass,2024-10-11
f865ca45-c2c5-447a-9626-41a846800bbb,M920,2024-10-15,Fail,
ddf1cdf4-108f-405a-bbb8-be1e077f8320,M240,2024-09-12,Fail,2024-06-03
9f49750b-5c39-4da5-b4b2-5d0045f441fa,M463,2024-11-06,Pass,2024-12-26
04abaf31-2567-4a27-8061-e0fe822a4353,M451,2024-08-10,Pass,
ced7cbbd-87ac-41a1-b361-acc1483c869f,M912,2025-02-10,Pass,
f5a0747f-608b-4f81-853e-a3b158b2f7db,M970,2025-02-14,Fail,
a8426c10-a079-4d31-97c1-1f6f8ddc91bd,M168,2025-01-25,Pass,2024-05-03
12431263-7efc-43d0-aabd-e1e1b3632d1d,M847,2024-06-28,Fail,2024-10-28
1ac15b60-ffe6-4654-a0ce-a6e06cb367c2,M643,2024-04-02,Pass,2024-06-12
366b8cf6-60a8-4eda-ba9e-a2f80692ce3a,M958,2025-02-05,Pass,2024-06-07
5fbf83bf-874e-4fc5-87bc-ac54c5d0384e,M214,2024-05-16,Fail,2024-05-06
9ee004a4-17fb-4ece-9d13-fb0a63bc9026,M223,2024-12-30,Pass,2025-03-11
dfd5176f-a175-4453-be1e-e68f68914303,M439,2025-02-22,Fail,
72347753-5d06-473d-a4f2-dad6e14cce6c,M307,2024-11-10,Pass,
8de3cd8d-be5e-49a7-9353-b3782dff1473,M426,2025-03-03,Fail,2024-03-24
5579fb4d-eb96-449b-b2ac-c4df7425ec41,M810,2025-02-02,Pass,
76cb6cbb-2cd3-42d3-ad39-c247792eb36b,M940,2024-05-03,Pass,
6cd0c56d-1180-4959-bf8f-4cfc9bff1650,M221,2025-01-06,Fail,2024-05-09
f197fcfc-eb06-4603-a909-4909ebdc5976,M690,2024-09-09,Pass,2024-04-22
4b75b303-d4ed-4bc3-8d74-df26a9fac6a1,M961,2025-01-05,Pass,2024-06-10
a7729d0e-fae4-47c8-bc9b-37818c0b8f6a,M591,2024-11-16,Pass,2024-08-23
f7bad330-8f96-48bd-bc0e-5465e7ed8eb6,M926,2024-10-31,Pass,2024-07-24
50a5a815-807c-426b-8911-0cabf9d365c3,M123,2024-10-06,Pass,2024-06-22
1c97d2e8-79db-498d-8ff4-25d0f519a30f,M659,2024-10-27,Fail,2024-12-23
e22aea82-6cbe-4427-a0a4-7a426d9fe891,M488,2024-12-15,Fail,2025-02-10
e3ad3cd3-6192-4871-9d0b-4313d7dee087,M675,2024-04-04,Pass,2024-10-14
0fe645b0-fc46-428c-9dd4-1bb43b840020,M105,2024-08-24,Fail,2025-03-06
0c79a840-910e-4732-9206-de2c4d942b0a,M579,2024-07-07,Pass,
b10f261d-c0df-47de-93a7-1a3eb4485fb7,M763,2024-10-17,Pass,2025-01-10
b5f0c6c9-61ca-4a0a-b3b7-34aa586e5491,M932,2024-10-12,Pass,
482770ab-b568-42ff-9cb3-93e242c73b22,M989,2025-01-10,Fail,2024-03-26
778014e9-e2e5-44c9-b042-ac28f18be512,M680,2024-06-10,Fail,2025-02-22
ab29f307-8ed0-47e6-8fd6-ca29cea3ef65,M771,2025-01-03,Pass,2024-06-17
a717463b-1ada-40db-bf46-888f06fdfb3c,M418,2024-07-09,Pass,2024-09-24
8a08d22f-b376-4b9c-9cb6-b03707bba066,M863,2024-09-28,Pass,2024-05-08
4b0f871a-b251-48ce-b3e0-bc1a10866ec8,M149,2024-06-08,Fail,2024-08-24
2f081409-e14b-4ce9-85b2-93cd1639e7c6,M524,2025-01-09,Pass,2024-07-08
2d61360a-85ed-441b-9939-a14b994c67f8,M439,2025-02-10,Pass,
c383fe54-63e4-4b37-aee2-240d20b1e615,M791,2024-10-31,Pass,
a4b75337-e0de-4227-9f60-d3a75cfb4e58,M278,2024-08-05,Pass,2024-03-29
10635172-88d8-4aca-aa17-d380502871fd,M681,2025-02-07,Fail,2025-03-16
e4952ad4-231d-4bb6-92c0-1d850dbbd694,M421,2024-09-28,Pass,2024-09-23
3a257323-e7b9-40ad-8c30-1a2e180cd2eb,M913,2024-08-23,Pass,
35f878f6-9908-4436-929d-1fc136d66c03,M224,2024-11-20,Pass,
59a1df0d-2867-4811-9fe3-be318f7b301a,M430,2024-04-09,Pass,2025-02-05
13a8e133-50da-4c19-965a-e93579723d30,M107,2024-04-29,Pass,2024-05-26
4d500cb6-97ff-498d-b16c-64b17093f318,M502,2024-07-25,Fail,2025-02-07
c52d2027-06ad-4380-9b11-52a33044d0c3,M489,2024-12-21,Fail,2025-03-16
23326d38-3d54-4466-b009-3c50bfe85f0d,M138,2025-03-07,Fail,2024-12-23
49a63f0c-7998-459f-9120-9e9e8977516c,M933,2024-09-20,Fail,
58692455-c80c-4d18-bc5d-9ddf73d9a12c,M773,2024-04-25,Fail,2024-11-25
f6ec8952-60ba-4775-b3f1-7a12a11cd7c3,M404,2025-03-11,Fail,2024-12-09
c87a90e9-9490-4c5f-9a4c-4644917e9063,M374,2025-03-15,Pass,2025-03-06
79f705f3-9342-44e9-bec7-c73b5c20bbda,M928,2024-11-18,Pass,
a626cb47-d66f-4274-96cf-f8730940e91f,M623,2024-11-22,Pass,2024-07-27
66b55970-e5a1-4afb-9bb6-8def66577e15,M817,2024-08-18,Fail,
6a3e342e-ca4d-4c2e-acb1-8b456cfc23e7,M534,2024-04-27,Pass,2024-06-19
4367ffd2-2de7-407c-8935-771bd7b35d1a,M662,2024-12-17,Fail,2024-07-13
a5b3109e-2018-4480-960c-2e1c3d414885,M444,2024-12-16,Pass,2024-09-08
c58653d8-c87e-4a7e-8a4d-0aa97ad28f5e,M494,2024-06-14,Fail,2024-03-21
68034c85-d450-44f3-8123-8a4d0ac6bf36,M957,2024-05-16,Fail,2025-01-09
b052e3dd-cac3-4f25-81fb-f2e9a6bb9845,M497,2024-09-15,Pass,2024-08-06
7dca657e-a465-4ce7-ace7-f989f0d1dfa1,M857,2024-06-22,Fail,2024-09-01
916fd23c-d612-4270-8405-cfc4c920799e,M928,2025-03-16,Fail,2024-07-12
bd60ed71-5f07-4d1a-8bff-f9cb996c74c6,M517,2024-05-22,Fail,2025-01-27
3f1346c1-99ce-40c9-959f-e466776807cc,M870,2024-12-28,Pass,
5efb9db5-724b-4fcb-aa70-a6f5fc2ef84b,M186,2024-10-22,Pass,
208e324f-de1a-4e8a-baea-86a9e7713e5a,M795,2025-03-02,Fail,2024-10-08
7e1e4564-dc92-4104-b511-fa733cfb014c,M882,2024-07-15,Pass,2025-03-02
9df5d557-96b8-4e33-b4bf-dc02d70b10f2,M403,2025-03-02,Fail,2024-11-08
75c81b24-1ca3-4870-b887-08bbf6738150,M488,2025-01-19,Pass,2024-09-30
5220315e-e329-426f-87a3-ad219be36907,M496,2024-07-08,Fail,2024-12-12
8b8d931f-cb6d-47fb-8f71-9628325621ef,M359,2025-02-12,Fail,
a1faf0c0-fd92-4150-80b9-7260846623e7,M553,2025-03-01,Pass,2024-11-20
b9b6dc7d-6923-4176-aa25-c435ac9268be,M564,2024-10-30,Fail,
556ccb85-38e0-4b2e-8db9-6d461adde27c,M946,2024-03-24,Pass,2024-06-18
a5a01592-3b50-4473-b2d1-25a60d4f6439,M307,2025-01-23,Pass,2024-10-23
b8f08719-68fe-4bf8-bd46-521c466e72d6,M678,2024-08-18,Fail,2024-04-12
c9335a6e-e065-4fee-9d1e-b2d4139fcaa2,M548,2024-12-21,Fail,2024-08-11
d6cd94ad-befa-4eb9-9709-a88c3587b0ea,M277,2024-08-31,Pass,
ef2a71ed-d866-4cc7-abf7-b13320afdf28,M404,2024-07-26,Pass,
3d925a09-405d-44bb-ad06-a43900134737,M626,2024-06-06,Pass,
3d89ae31-1bcd-4a32-9566-3c8baa1b9086,M862,2024-06-21,Fail,2024-09-30
65b0d252-b612-4ea6-bc0d-58c85abfeb6a,M637,2025-02-14,Pass,2025-02-27
47cd53af-4e1c-40f9-b509-32ee2ba9834b,M923,2024-06-07,Fail,2024-12-17
9e4f680b-a3f8-4e96-9bdf-8f0d9aaa5aff,M283,2024-12-07,Pass,2025-01-31
e99ce631-8ff9-49b9-b7bf-7ed60062f5d6,M446,2024-10-11,Pass,2024-10-30
a98737c1-18fc-4481-b25a-195c1b4955a0,M232,2024-06-16,Pass,2024-10-14
24dc9e05-4107-45fb-a688-1428206e4041,M575,2024-08-05,Pass,2024-06-17
20c0c505-95ec-45c5-a9ae-f0d87db61f7f,M662,2025-01-27,Fail,
a7023a7a-ad4b-4a12-b59c-482d44ff63e9,M814,2024-10-18,Pass,
fb263dea-761c-4ce2-8890-3bd78d4f4024,M100,2025-03-06,Fail,
6f5f8977-2e54-474f-9c63-100518135929,M340,2024-04-19,Fail,2024-08-05
afe06e9e-fb1a-411b-aca4-ad50409ef8e5,M674,2024-11-05,Fail,2024-10-21
eccb5493-9125-491e-bb7b-21456e747e48,M852,2025-02-09,Pass,
95154e7c-c3ff-4a45-b326-f4a7f44b0afa,M632,2024-07-02,Pass,2024-11-30
d5f6770c-f10f-49ad-b73d-276831ffbc92,M519,2025-03-05,Pass,2024-08-29
44413b47-17b7-418f-8ef8-c16fb935cbf1,M141,2025-03-15,Fail,2024-08-19
5f04de07-88f7-4985-bfb3-f1e894ec1ea0,M996,2025-03-01,Pass,2024-04-02
156fb8c0-5864-4326-95ac-85f7e7d5b7aa,M905,2024-10-17,Fail,2024-06-22
f487323b-083f-4c01-98ac-24c8a4cdbe82,M484,2025-01-09,Pass,
bae293be-2e85-4043-8efb-e761c74fa4df,M200,2024-12-26,Pass,
242ed52d-8e3a-4fdd-86bf-ac6925a0d845,M186,2024-07-01,Fail,2024-08-15
88bbef5f-e87d-46c5-a702-8a2685633002,M644,2024-05-19,Fail,
3f1aece0-011c-4b21-8f84-d07091e04038,M804,2024-10-11,Pass,2024-12-07
ba661051-145a-48ad-b75c-70c3ec182f60,M755,2024-07-24,Pass,
26797206-5d3b-4edf-8aa7-bd48a2b6ea52,M895,2025-02-24,Pass,2024-07-22
e6f8b9f7-2e8f-4c4e-b9fe-bb70aa3690df,M663,2024-11-03,Fail,
e8386a14-f551-4b87-8cb3-3c94d0d6fc95,M359,2025-02-23,Pass,2025-03-09
3cef9578-ec30-4e9b-ab0e-ae34ff23ea3e,M174,2025-03-01,Pass,2024-06-07
83f8077b-4cd3-4c3f-99ab-efaed873c360,M933,2024-09-26,Fail,
45e2ea3e-5023-4216-a8cd-86b5833f449f,M609,2024-08-06,Pass,2024-09-23
c03151a6-1111-459e-864c-0d28d6af2d1d,M300,2024-10-29,Fail,2024-10-21
93c6eb69-33ac-4dde-977a-ef5a18e6f179,M588,2024-12-08,Pass,
d6c4848d-e71f-41ad-a734-8c5321341b22,M956,2024-11-12,Fail,2024-07-27
7462b26e-2cae-45cf-8c1e-3e9e142fd497,M576,2025-02-09,Fail,
f02730f0-3a86-41d3-b28c-eed2d0770d2f,M277,2024-11-26,Pass,2024-11-09
3472308d-f7fb-4e28-958a-82d9f5cb3252,M762,2025-02-19,Fail,2024-09-02
5fbaf0cc-8c57-4b5c-84d4-a521cf6e69cd,M707,2024-09-12,Fail,2025-01-30
bdc6d63a-b761-441c-ad32-98173c7ed1ab,M878,2025-03-11,Fail,2025-01-19
652c2862-99a6-4155-a2a2-e1685185fc3d,M422,2024-09-30,Fail,2024-04-23
7f834887-c89c-4253-8828-1755212c40a9,M467,2024-08-18,Pass,2024-09-01
e7eb5414-b710-4b7a-aeaa-f99ecdbb90fd,M161,2024-07-15,Fail,2025-02-09
50c76be5-8814-4f30-ac4e-b8d90d8670c6,M216,2024-10-11,Fail,
21127682-7fb7-4d4f-8932-50e9742084aa,M263,2024-10-24,Pass,2024-10-05
9b56c52d-c69d-47e4-8137-2a212f585265,M841,2025-01-30,Fail,
76d14ba5-0ea3-4a5e-8b8e-3f601f98926a,M714,2024-08-04,Fail,2025-01-07
c6cdbcec-d33b-4e9d-9c9c-94f7334ca7bd,M503,2024-10-17,Pass,
09358e8d-27c5-44b7-80b8-47cadab8380b,M804,2024-05-12,Pass,
a7786a28-1424-48b5-83a1-ebb02a2fd69f,M567,2024-12-13,Pass,2024-12-05
ca770484-e2f1-42d2-a5c8-7d817768e6b2,M508,2024-06-08,Pass,2024-04-16
356f8e90-b821-47fb-8471-c34d22038292,M682,2024-11-03,Pass,
4664756b-5244-4ac6-90c4-a4e24e29bd8c,M101,2025-01-02,Fail,2024-04-04
e8c0fcd5-0a18-493a-bc62-29d01682809e,M887,2025-03-19,Pass,
fefefef2-f132-4146-b598-a31a69990f47,M678,2025-02-15,Fail,
b1331535-5e35-4701-9699-86a9115fd548,M279,2024-04-21,Pass,2024-07-17
b14e60b2-0454-4ff0-aaf6-5b4fc76bc4cb,M672,2024-08-27,Fail,2024-11-15
16a9c2c9-e96c-4151-9a0d-818335f0b2bf,M146,2024-12-17,Fail,
e3f674af-ff6a-4ef4-9eee-31d4fce4c289,M635,2024-08-20,Fail,2024-07-27
5ed3eb27-2985-4b57-8d41-a40ab13f78fe,M928,2024-09-10,Fail,
b2043829-834d-4785-b4de-3400e628f3ea,M505,2024-03-31,Fail,
0af33d8f-ad76-42a7-a3ea-5acc2774125a,M859,2025-01-15,Pass,2025-01-02
29088e17-90e5-4324-87cc-0f2296fea9e8,M580,2024-11-01,Pass,
f87e2d88-7cb0-4f92-85b9-425d68008b7d,M994,2025-02-13,Fail,2024-06-02
af1d72a6-224f-4da8-84ed-81b247ec1199,M451,2024-12-29,Fail,2025-03-02
3c98c274-514d-452f-9d91-52484200d6f9,M871,2024-12-05,Pass,2024-12-04
b1281ec8-e0ec-420b-9bcb-c14163f51bf0,M918,2025-02-01,Pass,2024-03-21
d576ddd2-b103-49ea-9c02-825f0130f3ee,M510,2025-02-28,Pass,2024-11-16
b1bb562a-7eab-4f8e-b32a-d26b01065549,M708,2025-03-15,Fail,2024-08-17
f36d7f83-04e3-43ae-9da2-487f81abd5a5,M239,2024-07-25,Pass,2025-01-26
4836e295-cef9-46b0-bff6-3f2591b3f469,M875,2024-05-29,Fail,
8a1ebb8f-4296-48dc-885a-824f7ecda5bf,M880,2024-10-10,Fail,2024-11-27
27972e2c-c59f-4e6d-8b16-3f2ffa10b33b,M271,2024-04-16,Pass,
ad4d13bf-d4b2-4a8c-bf28-e8e4422b74a5,M307,2024-05-03,Fail,
beccb0ed-6f94-4ec1-a363-68a3a3a3803f,M342,2024-04-23,Pass,
04c3a6a2-0aed-4387-856f-45325171d70b,M632,2024-11-02,Fail,2024-12-27
d720ab8f-93ff-4303-91e1-1eab95a852ef,M598,2024-12-12,Pass,
88534bd2-7ee2-48af-b07b-e925a3fb8b2c,M195,2024-04-01,Fail,2024-06-30
0101b4c1-90e5-415a-b254-afab2333c505,M472,2024-06-07,Fail,2024-09-23
88f68866-2e85-444a-88c3-3f15b6ce4186,M586,2024-11-20,Pass,
dd6c7e20-e062-496d-a7c3-5d8f298e5dc9,M328,2025-03-15,Pass,2024-09-04
aaae5728-f68d-4fce-9d81-9717cb5140f3,M905,2024-12-30,Pass,2024-11-26
ed31fd58-1040-4c91-af07-152d1ad3fb2f,M803,2024-08-13,Fail,2024-06-14
18843b84-5f2b-4ea2-9191-374b3015fa8a,M785,2025-01-02,Fail,
b158e6b9-6821-45e0-b0f7-ee46035ffe71,M318,2024-07-16,Pass,2025-02-13
ad85b68a-b03b-40eb-a38e-1c01540b4955,M377,2024-10-16,Fail,2024-12-07
cc38471f-9894-424e-b170-4340210143e3,M253,2025-01-31,Pass,2024-11-22
063ca08c-4d1a-4504-a890-1cb7ff46ccfb,M812,2024-10-15,Pass,2024-11-15
ae6c65f2-a47c-4694-81ca-81eb7ae743f2,M664,2024-06-04,Fail,2024-08-10
fb920722-9e4c-4656-bd17-8ba169f537b3,M381,2024-12-07,Pass,2024-12-02
6d16a08e-04a0-448a-9d88-bc06d14a5400,M146,2024-12-01,Pass,2025-01-07
be8d35e6-8b81-455c-bb9c-117bfcc20edd,M460,2024-09-07,Pass,2025-03-01
e9fe4793-6287-4f13-932c-6f1ce8a0a375,M526,2024-12-21,Fail,2025-03-10
c58a9a8b-f0fe-4ee3-8640-143e0119eb31,M663,2024-12-15,Pass,2024-06-18
4b4c2b6a-8a25-4b14-8eb2-469b2ad9a121,M866,2024-11-10,Pass,2024-11-06
c046f5d8-585d-445a-8790-979815973ec5,M167,2024-06-16,Pass,
d24a7628-6ea3-4c0a-908a-2057f003e781,M818,2024-09-03,Pass,
2e3aa377-5a36-454b-9b6c-8502b0e17482,M967,2025-03-06,Pass,
3f055336-a261-49a8-ab30-dbcb82546634,M295,2024-10-17,Fail,2024-10-19
e0131a91-0739-4786-8abe-ae651d41f732,M754,2024-06-05,Pass,2025-02-22
4cec6968-746a-4bca-ab56-c52df8c35146,M289,2025-02-12,Fail,
9027bfd3-16c0-456a-b37c-1e7ee1a429ed,M979,2024-08-03,Fail,
f8018e7b-5425-4595-8529-2c87eff707b1,M910,2024-09-26,Fail,2024-10-23
09c64c44-848a-471c-9707-7486f18180bc,M300,2024-05-06,Fail,2024-04-26
646f167b-691a-42ff-b57b-29f0d13fe07d,M719,2024-04-01,Pass,
65aa1477-eada-4eec-a00b-d53179b8dc69,M982,2024-09-09,Pass,2024-05-01
08849cb8-b61c-42e9-b3ab-bfc446becc59,M188,2024-04-20,Pass,
f55e9d2a-55ad-47b6-9db5-bf3bb4daf890,M483,2025-01-02,Pass,
950d76c4-f277-47b9-8f82-49f38e820556,M284,2025-01-05,Fail,
9458c5a5-7408-438f-9480-b901691551f0,M677,2024-05-19,Fail,
18f7eb61-e2dd-4f44-b423-3d54d2dd3d72,M620,2024-12-27,Pass,2024-11-20
8d731367-25f5-469c-97f1-b312e038f683,M765,2024-06-22,Pass,2024-08-30
012a4807-6042-4b05-89d3-212ce6c8e3ad,M259,2024-05-27,Pass,2024-11-14
f9865afe-12b8-4266-9525-14557ec409c8,M129,2024-08-21,Pass,2025-01-11
b94226d3-36e7-4080-aedf-58da68dbc7ac,M633,2024-06-27,Fail,2024-04-22
bb5e155d-92ec-442d-8d93-4b42d633441c,M864,2024-07-30,Pass,2024-12-27
77ae94bf-c5a5-4a86-8179-3d5f88e900a2,M602,2024-06-06,Pass,2024-12-21
1fed9b41-bf6a-4eca-8b68-6d3dd63ea02b,M750,2024-04-15,Pass,2024-05-01
7470cc10-3a8b-47c4-bbf8-cb65be27fce7,M220,2024-03-30,Pass,2024-07-02
c304595e-8ed4-4d24-847c-3238b85e29bc,M283,2025-01-22,Pass,2025-03-18
f643a00d-6b8d-4486-9484-c9d2accad4a5,M455,2024-04-27,Pass,2024-11-15
3c69a6b4-83dd-4f3a-a066-e5bc1a12c89c,M608,2024-06-10,Fail,2024-11-23
1d068bec-49d5-4d1f-9e6c-145ea6d2a524,M327,2024-10-24,Fail,2024-05-17
f0263f59-7dbf-4c5b-8f45-4d7d929d8dae,M528,2025-01-30,Fail,2024-08-08
aa31aa5c-1add-448b-a948-03e8064a0864,M404,2024-07-24,Pass,2025-02-01
608692ca-37fb-4848-84de-55e600ed9e71,M654,2024-05-11,Pass,
ed3ef588-0a08-493d-85bb-60b5479cb794,M237,2024-09-06,Fail,
50402c4b-8fd7-4410-8842-5c735d679d76,M962,2024-12-06,Pass,2024-09-14
475efe81-1271-4466-a888-ca2688964a9e,M674,2024-08-27,Fail,2024-09-20
5877a31c-c608-4f45-8f92-18b2d920022e,M812,2024-09-21,Pass,2025-02-10
6d28605d-8408-4c40-a5fb-b9a0725ab011,M213,2025-02-18,Fail,2024-12-25
9aa618db-c7a3-4b98-b310-4ce9f0cd9c00,M354,2024-04-04,Fail,2024-12-12
7f96e19b-53e1-4933-b6dc-5e95a69840f2,M544,2024-11-04,Fail,
39f98e4f-a5e6-4532-9938-c839a426fcf1,M504,2025-01-10,Fail,2024-11-18
3782f05c-297c-43e0-b3bd-643b7c855f5c,M107,2024-08-17,Fail,2024-09-22
9966556f-af7e-4242-94ff-41650e34102e,M673,2024-09-22,Fail,
